Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_32_441,VDD,Metal1,253.9600,145.0400,4.999974
FILLER_32_405,VDD,Metal1,233.8000,145.0400,4.999976
FILLER_32_403,VDD,Metal1,232.9600,145.0400,4.999976
FILLER_32_395,VDD,Metal1,230.6665,144.4630,4.999976
FILLER_32_381,VDD,Metal1,221.5800,144.6075,4.999978
FILLER_32_373,VDD,Metal1,218.3465,144.4630,4.999978
FILLER_32_357,VDD,Metal1,211.7280,144.3480,4.999978
FILLER_32_335,VDD,Metal1,194.6000,145.0400,4.999980
FILLER_32_327,VDD,Metal1,192.5865,144.4630,4.999980
FILLER_32_317,VDD,Metal1,185.7400,144.6075,4.999980
FILLER_32_313,VDD,Metal1,182.5600,145.0400,4.999982
FILLER_32_295,VDD,Metal1,172.4800,145.0400,4.999984
FILLER_32_279,VDD,Metal1,168.0480,144.3480,4.999984
FILLER_32_273,VDD,Metal1,160.1600,145.0400,4.999984
FILLER_32_257,VDD,Metal1,155.7280,144.3480,4.999984
FILLER_32_234,VDD,Metal1,138.3200,145.0400,4.999985
FILLER_32_230,VDD,Metal1,137.0200,144.6075,4.999985
FILLER_32_222,VDD,Metal1,133.7865,144.4630,4.999985
FILLER_32_206,VDD,Metal1,124.8265,144.4630,4.999985
FILLER_32_190,VDD,Metal1,118.2080,144.3480,4.999985
FILLER_32_179,VDD,Metal1,107.2400,145.0400,4.999986
FILLER_32_177,VDD,Metal1,106.4000,145.0400,4.999986
FILLER_32_166,VDD,Metal1,100.2400,145.0400,4.999986
FILLER_32_121,VDD,Metal1,74.7600,145.0400,4.999987
FILLER_32_113,VDD,Metal1,72.7465,144.4630,4.999987
FILLER_32_107,VDD,Metal1,66.9200,145.0400,4.999987
FILLER_32_86,VDD,Metal1,55.1600,145.0400,4.999988
FILLER_32_84,VDD,Metal1,54.3200,145.0400,4.999988
FILLER_32_53,VDD,Metal1,36.9600,145.0400,4.999988
FILLER_32_37,VDD,Metal1,32.5280,144.3480,4.999989
FILLER_32_34,VDD,Metal1,26.0400,145.0400,4.999989
FILLER_32_2,VDD,Metal1,17.4755,144.2710,4.999989
FILLER_31_422,VDD,Metal1,245.7865,137.7765,4.999901
