net,length_um
ERR_O,29.705µm
trigger_timer_internal\[1\],29.22µm
pulse_timing_internal\[22\],29.17µm
pulse_timing_register\[21\],29.17µm
_0295_,29.12µm
_0398_,29.12µm
_0332_,28.71µm
net25,28.66µm
_0367_,28.66µm
DAT_O[5],28.635µm
net3,28.61µm
_0171_,28.61µm
_0436_,28.61µm
_0541_,28.61µm
_0386_,28.56µm
net32,28.56µm
net5,28.05µm
net8,28.05µm
_0565_,28.05µm
range_timing_register\[11\],28.05µm
_0349_,28µm
_0572_,27.49µm
_0592_,27.49µm
counter_control_status_register\[3\],27.49µm
_0302_,27.44µm
_0507_,27.03µm
_0219_,26.93µm
_0341_,26.93µm
_0152_,26.88µm
_0570_,26.47µm
_0605_,26.47µm
_0608_,26.42µm
range_timing_register\[2\],26.42µm
_0331_,26.37µm
_0483_,26.37µm
_0350_,26.32µm
_0513_,26.32µm
_0154_,25.96µm
_0369_,25.86µm
_0537_,25.86µm
pulse_timing_register\[15\],25.86µm
_0037_,25.81µm
pulse_timing_register\[13\],25.81µm
_0429_,25.35µm
_0439_,25.3µm
range_timing_internal\[14\],25.3µm
range_timing_register\[13\],25.3µm
_0527_,25.25µm
pulse_timing_internal\[11\],24.84µm
_0526_,24.74µm
_0434_,24.69µm
_0220_,24.64µm
net46,24.64µm
trigger_timer_internal\[0\],24.18µm
_0007_,24.13µm
_0339_,24.13µm
_0397_,24.13µm
_0575_,24.13µm
net60,24.13µm
_0146_,24.08µm
_0469_,23.67µm
pulse_timing_internal\[17\],23.67µm
afe_config_bypass_control_register\[1\],23.62µm
_0579_,23.57µm
_0594_,23.57µm
_0601_,23.57µm
net96,23.57µm
_0043_,23.52µm
_0185_,23.52µm
net7,23.06µm
_0412_,23.06µm
_0554_,23.06µm
_0382_,23.01µm
_0370_,22.96µm
pulse_timing_internal\[12\],22.55µm
pulse_timing_internal\[10\],22.5µm
trigger_timer_internal\[6\],22.5µm
pulse_timing_register\[10\],22.45µm
_0098_,22.4µm
_0284_,22.4µm
afe_config_bypass_control_register\[0\],22.4µm
_0478_,21.99µm
_0357_,21.94µm
_0501_,21.94µm
_0131_,21.89µm
_0435_,21.89µm
_0508_,21.89µm
_0172_,21.84µm
_0256_,21.84µm
_0401_,21.84µm
_0012_,21.38µm
range_timing_internal\[10\],21.38µm
range_timing_register\[4\],21.38µm
net26,21.33µm
_0228_,21.33µm
_0275_,21.33µm
_0431_,21.33µm
_0293_,21.28µm
range_timing_register\[8\],21.28µm
_0440_,20.82µm
_0499_,20.82µm
pulse_timing_internal\[2\],20.82µm
DAT_O[0],20.745µm
DAT_O[1],20.745µm
_0168_,20.72µm
pulse_timing_internal\[23\],20.72µm
net58,20.72µm
range_timing_register\[18\],20.26µm
trigger_timer_internal\[3\],20.26µm
net23,20.21µm
_0105_,20.21µm
_0291_,20.21µm
_0586_,20.21µm
_0610_,20.21µm
pulse_timing_register\[5\],20.21µm
_0274_,20.16µm
_0276_,19.7µm
_0259_,19.65µm
_0347_,19.65µm
_0394_,19.65µm
_0326_,19.6µm
_0400_,19.6µm
_0441_,19.14µm
_0458_,19.14µm
_0486_,19.14µm
_0148_,19.09µm
_0246_,19.09µm
_0524_,19.09µm
_0616_,19.09µm
DAT_O[4],19.065µm
_0137_,19.04µm
_0278_,19.04µm
_0418_,19.04µm
_0531_,19.04µm
_0593_,19.04µm
_0625_,19.04µm
_0520_,18.58µm
