Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_25_89,VDD,Metal1,57.1200,113.6800,4.999967
FILLER_25_85,VDD,Metal1,55.8200,114.1125,4.999967
FILLER_25_76,VDD,Metal1,49.5600,113.6800,4.999967
FILLER_25_69,VDD,Metal1,45.6400,113.6800,4.999967
FILLER_25_67,VDD,Metal1,44.8000,113.6800,4.999967
FILLER_25_63,VDD,Metal1,43.5000,114.1125,4.999967
FILLER_25_47,VDD,Metal1,38.1280,114.3720,4.999968
FILLER_25_35,VDD,Metal1,26.6000,113.6800,4.999969
FILLER_25_31,VDD,Metal1,25.5800,114.1125,4.999969
FILLER_24_247,VDD,Metal1,146.5400,113.2475,4.999952
FILLER_24_241,VDD,Metal1,143.1800,113.2475,4.999952
FILLER_24_150,VDD,Metal1,92.2200,113.2475,4.999959
FILLER_24_122,VDD,Metal1,76.5400,113.2475,4.999961
FILLER_24_109,VDD,Metal1,68.0400,113.6800,4.999967
FILLER_24_107,VDD,Metal1,67.2000,113.6800,4.999967
FILLER_24_81,VDD,Metal1,57.1680,112.9880,4.999967
FILLER_24_75,VDD,Metal1,49.0000,113.6800,4.999967
FILLER_24_73,VDD,Metal1,48.1600,113.6800,4.999967
FILLER_24_57,VDD,Metal1,43.7280,112.9880,4.999967
FILLER_24_45,VDD,Metal1,33.4200,113.2475,4.999968
FILLER_23_237,VDD,Metal1,139.7200,105.8400,4.999947
FILLER_23_212,VDD,Metal1,126.9400,106.2725,4.999948
FILLER_23_156,VDD,Metal1,94.6400,105.8400,4.999949
FILLER_23_152,VDD,Metal1,93.3400,106.2725,4.999949
FILLER_23_126,VDD,Metal1,78.7800,106.2725,4.999950
FILLER_23_95,VDD,Metal1,60.4800,105.8400,4.999951
FILLER_23_91,VDD,Metal1,59.1800,106.2725,4.999951
FILLER_23_83,VDD,Metal1,55.9465,106.4165,4.999958
FILLER_23_74,VDD,Metal1,48.4400,105.8400,4.999960
FILLER_23_72,VDD,Metal1,47.6000,105.8400,4.999960
FILLER_23_69,VDD,Metal1,45.6400,105.8400,4.999960
FILLER_23_65,VDD,Metal1,44.6200,106.2725,4.999960
FILLER_23_57,VDD,Metal1,41.3865,106.4165,4.999960
FILLER_23_45,VDD,Metal1,32.2000,105.8400,4.999962
FILLER_23_30,VDD,Metal1,23.8000,105.8400,4.999966
FILLER_23_26,VDD,Metal1,22.7800,106.2725,4.999966
FILLER_23_2,VDD,Metal1,8.1200,105.8400,4.999966
FILLER_22_247,VDD,Metal1,146.5400,105.4075,4.999947
FILLER_22_179,VDD,Metal1,107.2400,105.8400,4.999948
FILLER_22_177,VDD,Metal1,106.4000,105.8400,4.999948
FILLER_22_161,VDD,Metal1,99.6265,105.2630,4.999948
FILLER_22_92,VDD,Metal1,59.7400,105.4075,4.999951
FILLER_22_53,VDD,Metal1,36.9600,105.8400,4.999961
FILLER_22_45,VDD,Metal1,34.6665,105.2630,4.999961
FILLER_22_39,VDD,Metal1,28.8400,105.8400,4.999963
FILLER_22_37,VDD,Metal1,28.0000,105.8400,4.999964
FILLER_22_31,VDD,Metal1,25.5800,105.4075,4.999965
FILLER_22_23,VDD,Metal1,22.3465,105.2630,4.999966
FILLER_22_2,VDD,Metal1,10.5865,105.2630,4.999966
FILLER_21_227,VDD,Metal1,134.4000,98.0000,4.999955
FILLER_21_142,VDD,Metal1,87.7400,98.4325,4.999958
FILLER_21_133,VDD,Metal1,81.7600,98.0000,4.999958
FILLER_21_129,VDD,Metal1,80.4600,98.4325,4.999958
FILLER_21_119,VDD,Metal1,73.9200,98.0000,4.999959
