counter_control_status_register\[2\],33.09µm
range_timing_internal\[2\],33.09µm
range_timing_internal\[20\],32.58µm
_0620_,32.53µm
net5,32.48µm
_0599_,32.48µm
_0627_,32.48µm
pulse_timing_internal\[18\],32.07µm
_0606_,31.97µm
_0621_,31.92µm
_0033_,31.41µm
_0155_,31.41µm
pulse_timing_register\[11\],31.41µm
_0286_,31.36µm
_0534_,30.9µm
net24,30.85µm
_0166_,30.8µm
_0536_,30.8µm
_0423_,30.44µm
_0148_,30.34µm
_0539_,30.34µm
net25,30.29µm
DAT_O[1],30.1µm
_0478_,29.83µm
_0239_,29.78µm
_0417_,29.78µm
pulse_timing_internal\[16\],29.78µm
range_timing_register\[23\],29.73µm
_0386_,29.68µm
range_timing_register\[7\],29.68µm
DAT_O[7],29.54µm
measurement_state_machine\[10\],29.22µm
pulse_timing_internal\[20\],29.22µm
pulse_timing_register\[2\],29.22µm
_0541_,29.17µm
range_timing_internal\[21\],29.12µm
CYC_I,28.98µm
DAT_O[3],28.98µm
DAT_O[6],28.98µm
pulse_count_threshold_register\[0\],28.66µm
_0186_,28.61µm
_0593_,28.61µm
range_timing_register\[15\],28.61µm
_0037_,28.56µm
_0174_,28.56µm
_0058_,28.05µm
_0415_,28.05µm
_0609_,28µm
net109,28µm
_0146_,27.54µm
pulse_count_threshold_register\[3\],27.54µm
range_timing_internal\[10\],27.49µm
net112,27.44µm
DAT_O[0],27.3µm
pulse_timing_internal\[10\],27.03µm
_0409_,26.93µm
_0429_,26.93µm
_0435_,26.93µm
_0313_,26.88µm
_0579_,26.88µm
_0585_,26.88µm
net91,26.88µm
DAT_O[2],26.74µm
net16,26.37µm
_0608_,26.37µm
_0546_,26.32µm
range_timing_register\[10\],26.32µm
range_timing_register\[11\],25.86µm
_0107_,25.81µm
pulse_timing_internal\[22\],25.81µm
net106,25.81µm
_0272_,25.76µm
_0588_,25.76µm
net72,25.76µm
WE_I,25.62µm
_0420_,25.35µm
_0375_,25.3µm
pulse_timing_internal\[7\],25.3µm
range_timing_internal\[6\],25.3µm
_0510_,25.25µm
measurement_state_machine\[14\],25.25µm
ADDR_I[4],25.06µm
DAT_I[5],25.06µm
trigger_timer_internal\[0\],24.79µm
_0501_,24.74µm
_0325_,24.69µm
_0590_,24.69µm
_0612_,24.69µm
STB_I,24.5µm
_0294_,24.13µm
net6,24.08µm
DAT_I[7],23.94µm
pulse_timing_internal\[3\],23.85µm
range_timing_register\[18\],23.62µm
range_timing_register\[3\],23.62µm
_0147_,23.57µm
_0398_,23.57µm
_0436_,23.57µm
_0591_,23.57µm
pulse_timing_register\[3\],23.57µm
range_timing_register\[12\],23.57µm
_0574_,23.52µm
net80,23.52µm
net125,23.52µm
_0167_,23.16µm
_0178_,23.11µm
range_timing_register\[13\],23.01µm
net26,22.96µm
_0044_,22.96µm
_0284_,22.96µm
_0550_,22.96µm
_0573_,22.96µm
_0616_,22.96µm
ADDR_I[1],22.82µm
DAT_I[6],22.82µm
_0022_,22.4µm
range_timing_internal\[19\],22.4µm
net123,22.4µm
net134,22.4µm
pulse_timing_register\[0\],21.94µm
_0412_,21.84µm
DAT_I[3],21.7µm
measurement_state_machine\[15\],21.43µm
_0209_,21.38µm
_0247_,21.38µm
trigger_timer_internal\[1\],21.38µm
net22,21.33µm
_0603_,21.33µm
_0371_,21.28µm
_0446_,21.28µm
pulse_timing_internal\[6\],21.28µm
ADDR_I[5],21.14µm
pulse_timing_register\[8\],20.77µm
net67,20.72µm
net77,20.72µm
DAT_I[2],20.58µm
DAT_I[4],20.58µm
pulse_timing_register\[9\],20.26µm
_0032_,20.21µm
_0098_,20.21µm
_0185_,20.21µm
_0175_,20.16µm
ADDR_I[7],20.02µm
DAT_I[1],20.02µm
_0190_,19.65µm
_0442_,19.65µm
_0154_,19.6µm
_0587_,19.6µm
_0387_,19.14µm
_0180_,19.09µm
_0285_,19.09µm
_0526_,19.09µm
_0144_,19.04µm
_0549_,19.04µm
_0564_,19.04µm
DAT_I[0],18.9µm
_0337_,18.53µm
_0580_,18.53µm
_0604_,18.53µm
pulse_timing_register\[1\],18.53µm
_0071_,18.48µm
_0332_,18.48µm
_0400_,18.48µm
net90,18.48µm
_0483_,18.07µm
_0468_,18.02µm
range_timing_internal\[7\],18.02µm
_0366_,17.97µm
_0383_,17.97µm
_0066_,17.92µm
_0437_,17.51µm
_0179_,17.46µm
net7,17.41µm
_0035_,17.41µm
_0262_,17.41µm
_0317_,17.41µm
_0322_,17.41µm
_0394_,17.41µm
_0145_,17.36µm
_0297_,17.36µm
_0300_,17.36µm
_0374_,17.36µm
_0379_,17.36µm
_0458_,17.36µm
_0545_,17.36µm
_0625_,17.36µm
ADDR_I[6],17.22µm
_0504_,16.95µm
net61,16.9µm
_0249_,16.9µm
_0346_,16.9µm
afe_config_bypass_control_register\[0\],16.9µm
_0021_,16.85µm
_0158_,16.85µm
_0289_,16.85µm
_0314_,16.85µm
_0324_,16.85µm
_0393_,16.85µm
_0395_,16.85µm
_0520_,16.85µm
range_timing_register\[21\],16.85µm
_0440_,16.8µm
_0524_,16.8µm
trigger_timer_internal\[3\],16.8µm
net82,16.8µm
_0441_,16.29µm
_0463_,16.29µm
trigger_timer_internal\[6\],16.29µm
net96,16.29µm
_0168_,16.24µm
_0302_,16.24µm
_0352_,16.24µm
_0369_,15.83µm
_0492_,15.78µm
_0287_,15.73µm
_0594_,15.73µm
_0619_,15.73µm
pulse_timing_register\[15\],15.73µm
_0027_,15.68µm
_0634_,15.68µm
range_timing_register\[22\],15.22µm
net81,15.22µm
_0040_,15.17µm
_0340_,15.17µm
net87,15.17µm
_0496_,15.12µm
_0508_,15.12µm
_0595_,15.12µm
pulse_timing_internal\[2\],15.12µm
range_finished_internal_flag,15.12µm
_0131_,14.61µm
_0308_,14.61µm
_0312_,14.61µm
_0347_,14.61µm
pulse_timing_register\[10\],14.61µm
_0199_,14.56µm
_0230_,14.56µm
_0554_,14.56µm
net63,14.56µm
_0444_,14.1µm
net84,14.1µm
_0061_,14.05µm
_0169_,14.05µm
_0203_,14.05µm
_0299_,14.05µm
_0360_,14.05µm
_0430_,14.05µm
_0438_,14.05µm
_0006_,14µm
_0034_,14µm
_0138_,14µm
_0188_,14µm
_0327_,14µm
net33,14µm
range_timing_register\[19\],13.59µm
_0462_,13.54µm
pulse_timing_internal\[19\],13.54µm
_0102_,13.49µm
_0281_,13.49µm
_0601_,13.49µm
_0633_,13.44µm
_0339_,13.03µm
pulse_timing_register\[7\],12.98µm
range_timing_register\[16\],12.98µm
_0023_,12.93µm
_0152_,12.93µm
_0279_,12.93µm
_0356_,12.93µm
_0431_,12.93µm
_0480_,12.93µm
_0498_,12.93µm
_0512_,12.93µm
range_timing_register\[20\],12.93µm
_0192_,12.88µm
_0234_,12.88µm
_0274_,12.88µm
_0291_,12.88µm
_0397_,12.88µm
_0455_,12.88µm
_0009_,12.37µm
_0567_,12.37µm
_0629_,12.37µm
_0255_,12.32µm
_0419_,12.32µm
_0624_,12.32µm
_0636_,12.32µm
net93,12.32µm
net103,12.32µm
_0039_,11.81µm
_0486_,11.81µm
_0557_,11.81µm
_0643_,11.81µm
net83,11.81µm
net115,11.81µm
_0036_,11.76µm
_0101_,11.76µm
_0128_,11.76µm
_0257_,11.76µm
_0359_,11.76µm
_0391_,11.76µm
_0399_,11.76µm
_0479_,11.76µm
_0581_,11.76µm
pga_gain_control[1],11.62µm
_0481_,11.35µm
_0389_,11.3µm
net8,11.25µm
_0215_,11.25µm
_0275_,11.25µm
_0283_,11.25µm
net76,11.25µm
net100,11.25µm
net132,11.25µm
_0133_,11.2µm
_0219_,11.2µm
_0237_,11.2µm
_0318_,11.2µm
_0333_,11.2µm
_0537_,11.2µm
clknet_0_signal_input_regs,11.2µm
pga_gain_control[2],11.06µm
net89,10.74µm
_0038_,10.69µm
_0372_,10.69µm
_0447_,10.69µm
_0538_,10.69µm
_0635_,10.69µm
net133,10.69µm
_0067_,10.64µm
_0305_,10.64µm
_0336_,10.64µm
_0345_,10.64µm
_0439_,10.64µm
_0450_,10.64µm
_0454_,10.64µm
_0477_,10.64µm
_0530_,10.64µm
_0613_,10.64µm
pulse_timing_register\[6\],10.64µm
clknet_1_0__leaf_signal_input,10.64µm
net78,10.64µm
trigger_signal_out,10.5µm
net68,10.18µm
_0117_,10.13µm
_0309_,10.13µm
_0338_,10.13µm
_0449_,10.13µm
_0467_,10.13µm
_0611_,10.13µm
_0638_,10.13µm
_0026_,10.08µm
_0084_,10.08µm
_0362_,10.08µm
pga_gain_control[0],9.94µm
_0408_,9.62µm
_0515_,9.62µm
_0012_,9.57µm
_0029_,9.57µm
_0296_,9.57µm
_0513_,9.57µm
net108,9.57µm
net119,9.57µm
net129,9.57µm
_0161_,9.52µm
_0261_,9.52µm
_0267_,9.52µm
_0310_,9.52µm
_0485_,9.52µm
_0572_,9.52µm
net88,9.52µm
bypass_pin_control[1],9.38µm
_0514_,9.11µm
_0293_,9.06µm
_0063_,9.01µm
_0081_,9.01µm
_0105_,9.01µm
_0233_,9.01µm
_0276_,9.01µm
_0298_,9.01µm
_0474_,9.01µm
_0062_,8.96µm
_0072_,8.96µm
_0316_,8.96µm
_0405_,8.96µm
_0410_,8.96µm
range_timing_internal\[8\],8.96µm
net64,8.96µm
bypass_pin_control[0],8.82µm
bypass_pin_control[2],8.82µm
_0070_,8.45µm
_0096_,8.45µm
_0264_,8.45µm
_0482_,8.45µm
_0543_,8.45µm
_0639_,8.45µm
net95,8.45µm
_0015_,8.4µm
_0025_,8.4µm
_0130_,8.4µm
_0134_,8.4µm
_0251_,8.4µm
_0265_,8.4µm
_0271_,8.4µm
_0334_,8.4µm
_0509_,8.4µm
_0628_,8.4µm
_0640_,8.4µm
